"","Species","Country","year","count"
"809","LIN","BE","X2014",0
"810","LIN","BE","X2014",0
"811","LIN","BE","X2014",0
"812","LIN","BE","X2014",0
"813","LIN","BE","X2014",0
"814","LIN","BE","X2014",0
"815","LIN","BE","X2014",0
"816","LIN","BE","X2014",80
"817","LIN","BE","X2014",2
"818","LIN","BE","X2014",0
"819","LIN","BE","X2014",3
"820","LIN","BE","X2014",1
"821","LIN","BE","X2014",61
"822","LIN","BE","X2014",13
"823","LIN","BE","X2014",0
"824","LIN","BE","X2014",0
"825","LIN","BE","X2014",0
"826","LIN","BE","X2014",0
"827","LIN","BE","X2014",0
"828","LIN","BE","X2014",0
"829","LIN","BE","X2014",0
"830","MAC","BE","X2014",56
"831","MAC","BE","X2014",0
"832","MAC","BE","X2014",0
"833","MAC","BE","X2014",56
"834","MAC","BE","X2014",0
"835","MAC","BE","X2014",14
"836","MAC","BE","X2014",42
"837","MAC","BE","X2014",0
"838","MAC","BE","X2014",0
"839","MAC","BE","X2014",0
"840","MAC","BE","X2014",0
"841","MAC","BE","X2014",0
"842","MAC","BE","X2014",0
"843","MAC","BE","X2014",0
"844","MAC","BE","X2014",0
"845","MAC","BE","X2014",0
"846","MAC","BE","X2014",0
"847","MAC","BE","X2014",0
"848","MAC","BE","X2014",0
"849","MAC","BE","X2014",0
"850","MAC","BE","X2014",0
"851","MAC","BE","X2014",0
"852","MEB","BE","X2014",0
"853","MEB","BE","X2014",0
"854","MEB","BE","X2014",0
"855","MEG","BE","X2014",0
"856","MEG","BE","X2014",0
"857","MEG","BE","X2014",0
"858","MEG","BE","X2014",0
"859","MEG","BE","X2014",0
"860","MEG","BE","X2014",0
"861","MEG","BE","X2014",0
"862","MEG","BE","X2014",0
"863","MEG","BE","X2014",0
"864","MEG","BE","X2014",0
"865","MEG","BE","X2014",0
"866","MEG","BE","X2014",0
"867","MEG","BE","X2014",0
"868","MEG","BE","X2014",0
"869","MEG","BE","X2014",0
"870","MEG","BE","X2014",0
"871","MEG","BE","X2014",0
"872","MEG","BE","X2014",0
"873","MEG","BE","X2014",0
