Species,Country,2014,2013,2012,2011,2010,2009,2008,2007,2006
DPX,BE,1,1,4,3,10,17,5,10,5
DPX,BE,4,12,15,14,22,27,25,17,26
DPX,BE,0,0,0,0,0,0,0,0,0
DPX,BE,0,0,0,0,0,0,0,0,0
DPX,BE,0,0,0,0,0,0,0,0,0
DPX,BE,0,0,0,0,0,0,0,0,0
DPX,BE,0,0,0,0,0,0,0,0,0
DPX,BE,0,0,0,0,0,0,0,0,0
DPX,BE,0,0,0,0,0,0,0,0,0
DPX,BE,5,79,183,200,207,214,230,299,318
DPX,BE,0,1,14,10,11,5,7,14,12
DPX,BE,4,50,70,81,88,109,123,177,200
DPX,BE,0,3,16,5,7,6,10,14,10
DPX,BE,1,12,32,27,26,31,35,41,32
DPX,BE,0,12,51,77,75,63,54,53,64
DPX,BE,0,0,0,0,0,0,0,0,1
DPX,BE,0,0,0,0,0,0,0,0,0
DPX,BE,0,0,0,0,0,0,0,0,0
DPX,BE,0,3,13,9,16,18,13,17,18
DPX,BE,0,0,2,2,1,3,1,3,4
DPX,BE,0,3,11,7,14,15,12,14,14
DPX,BE,0,0,0,0,0,0,0,0,0
ELE,BE,0,0,0,0,0,0,0,0,0
ELE,BE,0,0,0,0,0,0,0,0,0
ELE,BE,0,0,0,0,0,0,0,0,0
FIN,BE,0,0,0,0,0,0,0,0,0
FIN,BE,0,0,0,0,0,0,0,0,0
FIN,BE,0,0,0,0,0,0,0,0,0
FIN,BE,0,0,0,0,0,0,0,0,0
FIN,BE,0,0,0,0,0,0,0,0,0
FIN,BE,0,0,0,0,0,0,0,0,0
FIN,BE,0,0,0,0,0,0,0,0,0
FIN,BE,0,0,0,0,0,0,0,0,0
FIN,BE,0,0,0,0,0,0,0,0,0
FIN,BE,0,0,0,0,0,0,0,0,0
FIN,BE,0,0,0,0,0,0,0,0,0
FIN,BE,0,0,0,0,0,0,0,0,0
FIN,BE,0,0,0,0,0,0,0,0,0
FIN,BE,0,0,0,0,0,0,0,0,0
FIN,BE,0,0,0,0,0,0,0,0,0
FIN,BE,0,0,0,0,0,0,0,0,0
